Step,8-dim,16-dim,32-dim,64-dim,128-dim,256-dim,512-dim
568,508,509,507,507,508,506,
569,510,506,506,507,506,509,
572,509,504,507,506,508,510,
573,507,506,507,503,505,507,
574,508,509,509,507,509,505,
575,506,504,507,507,509,503,
576,504,509,505,507,507,507,
577,503,505,507,503,506,509,
580,508,507,509,507,509,505,
581,504,506,509,508,509,511,
582,509,505,508,508,504,511,
583,505,508,508,509,505,503,
584,508,506,507,507,507,509,
585,508,509,506,507,506,506,
588,505,511,510,509,506,501,
589,506,507,510,510,510,506,
590,507,509,510,506,510,503,
591,509,508,508,510,503,506,
592,505,505,507,506,505,505,
593,511,509,507,507,508,505,
594,508,504,509,508,502,510,
597,505,506,509,509,506,508,
598,508,507,506,509,508,508,
599,505,503,511,507,508,506,
600,506,505,508,508,505,508,
601,507,507,505,511,508,507,
602,510,508,506,506,505,509,
605,505,509,508,508,508,506,
606,506,506,509,509,506,507,
607,506,510,510,508,508,505,
608,502,508,506,504,510,509,
609,508,501,507,510,505,509,
610,506,508,505,510,511,509,
